elf_code,country_code,entity_legal_form
3RMA,CZ,Státní fond ze zákona
4A26,CZ,Zájmová organizace družstev
4OTK,CZ,Regionální rada regionu soudržnosti
4UB2,CZ,Garanční fond obchodníků s cennými papíry
4YAK,CZ,Stálý rozhodčí soud
5AP3,CZ,Pobočná mezinárodní organizace zaměstnavatelů
5KU5,CZ,Veřejná obchodní společnost
6CQN,CZ,Akciová společnost
6FAI,CZ,Státní podnik
6OMW,CZ,Organizační jednotka občanského sdružení
747U,CZ,Společnost komanditní na akcie
74W6,CZ,Státní příspěvková organizace ostatní
7OZQ,CZ,Zájmové sdružení
84J8,CZ,Státní hospodářská organizace řízená okresnímúřadem
8K5T,CZ,Spotřební družstvo
917C,CZ,Česká tisková kancelář
95G8,CZ,Podnikající fyzická osoba tuzemská
971Y,CZ,Podnik nebo hospodářské zařízení sdružení
9HLU,CZ,Společnost s ručením omezeným
9RVC,CZ,Družstvo
9XDB,CZ,Občanské sdružení
AM3T,CZ,Státní fond ze zákona nezapisující se do obchodníhorejstříku
APEN,CZ,"Správa železniční dopravní cesty, státní organizace"
BL4B,CZ,Obecně prospěšná společnost
C4Q2,CZ,Všeobecná zdravotní pojišťovna
C5FE,CZ,Samostatná drobná provozovna (obecního úřadu)
C7GZ,CZ,Výrobní družstvo
CATU,CZ,Spolek
CD28,CZ,Společnost komanditní
CHJR,CZ,Podnik se zahraniční majetkovou účastí
CIO8,CZ,Veřejná výzkumná instituce
CUKQ,CZ,Mezinárodní organizace zaměstnavatelů
CZUA,CZ,Zahraniční fyzická osoba
D1VK,CZ,Školská právnická osoba
D35X,CZ,Zahraniční spolek
ET6Z,CZ,Svazy církví a náboženských společností
FIPS,CZ,Banka-státní peněžní ústav
FY1B,CZ,Církve a náboženské společnosti
G2I3,CZ,Pobočný spolek
H4XQ,CZ,Veřejné neziskové ústavní zdravotnické zařízení
H6WW,CZ,Státní příspěvková organizace
HQPK,CZ,"Komora (hospodářská, agrární)"
HS5W,CZ,Vnitřní organizační jednotka organizační složky státu
HSNC,CZ,Podnik zahraničního obchodu
HY6K,CZ,Organizační složka zahraničního nadačního fondu
I32F,CZ,Sdružení mezinárodního obchodu
I68R,CZ,Organizační jednotka zvláštní organizace prozastoupení českých zájmů v mezinárodníchnevládních organizacích
IQ9O,CZ,Společenství vlastníků jednotek
J8PB,CZ,Obec
JCAD,CZ,Evidované církevní právnické osoby
JJYB,CZ,Zahraniční pobočný spolek
KM6Z,CZ,Státní banka československá
LEDI,CZ,Honební společenstvo
LJ92,CZ,Československé státní dráhy-státní organizace
LJL0,CZ,Organizační složka státu
LPCQ,CZ,Mezinárodní odborová organizace
MAVU,CZ,Dobrovolný svazek obcí
MBUU,CZ,Příspěvková organizace zřízená územnímsamosprávným celkem
NI3I,CZ,Veřejnoprávní instituce
NJ87,CZ,Společný podnik (s více zakladateli)
NPH3,CZ,Česká národní banka
NQHQ,CZ,Komoditní burza
O9PW,CZ,Samosprávná stavovská organizace (profesníkomora)
OVKW,CZ,"Vysoká škola (veřejná, státní)"
P3YF,CZ,Pobočná odborová organizace a organizacezaměstnavatelů
PFE5,CZ,"Městská část, městský obvod"
PQJE,CZ,Mezinárodní nevládní organizace
Q25I,CZ,Odborová organizace a organizace zaměstnavatelů
QIEL,CZ,Kraj
QJ0F,CZ,Ústav
QJWK,CZ,Rada pro veřejný dohled nad auditem
